City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,concordia,-31.393,-58.0209,22.73,41,0,3.75,AR,1670300125
1,itacoatiara,-3.1431,-58.4442,22.78,90,87,1.02,BR,1670300125
2,bredasdorp,-34.5322,20.0403,13.39,75,73,1.14,ZA,1670300126
3,alekseyevsk,57.8406,108.3492,-11.25,94,100,4.89,RU,1670300127
4,waitati,-45.75,170.5667,11.56,70,97,3.94,NZ,1670300128
5,east london,-33.0153,27.9116,15.79,76,73,3.52,ZA,1670300128
6,madingou,-4.1536,13.55,22.43,96,100,0.73,CG,1670300129
7,ciparay,-7.4249,108.4742,29.45,74,92,1.57,ID,1670300129
8,vangaindrano,-23.35,47.6,24.72,79,74,1.54,MG,1670300130
9,kapaa,22.0752,-159.319,24.18,91,100,4.63,US,1670299974
10,leningradskiy,69.3833,178.4167,-21.88,88,90,2.47,RU,1670300131
11,moose factory,51.2585,-80.6094,-20.01,77,100,4.63,CA,1670300012
12,ushuaia,-54.8,-68.3,3.81,75,0,3.09,AR,1670300131
13,gojra,31.1487,72.6866,18.84,25,0,1.69,PK,1670300132
14,mataura,-46.1927,168.8643,10.27,40,13,3.2,NZ,1670300132
15,lasa,46.6166,10.7002,-2.02,66,13,1.99,IT,1670300133
16,hasaki,35.7333,140.8333,8.45,86,100,8.32,JP,1670300041
17,butaritari,3.0707,172.7902,27.27,79,83,6.37,KI,1670299967
18,tiksi,71.6872,128.8694,-26.61,94,100,4.43,RU,1670300133
19,iqaluit,63.7506,-68.5145,-22.04,98,58,1.22,CA,1670300134
20,tuktoyaktuk,69.4541,-133.0374,-26.54,83,10,9.25,CA,1670300134
21,kimberley,-28.7323,24.7623,10.83,76,0,2.57,ZA,1670300135
22,tari,12.4086,4.4914,20.96,17,73,4.75,NG,1670300135
23,tartagal,-22.5164,-63.8013,27.58,29,70,1.98,AR,1670300136
24,agadir,30.4202,-9.5982,14.25,78,100,2.79,MA,1670300136
25,roald,62.5833,6.1333,4.86,87,40,7.72,NO,1670300136
26,san rafael,-34.6177,-68.3301,23.33,60,40,0.0,AR,1670300137
27,barrow,71.2906,-156.7887,-3.99,80,100,5.14,US,1670300138
28,rikitea,-23.1203,-134.9692,24.11,81,100,6.06,PF,1670300138
29,quepos,9.4236,-84.1652,23.59,84,91,1.14,CR,1670300139
30,nishihara,26.1842,127.7558,21.6,64,75,10.29,JP,1670300139
31,astana,51.1801,71.446,-29.03,69,20,2.0,KZ,1670300140
32,kavieng,-2.5744,150.7967,28.83,68,69,1.15,PG,1670299987
33,roblin,51.23,-101.3565,-26.54,98,100,1.9,CA,1670300140
34,punta arenas,-53.15,-70.9167,4.06,81,75,3.09,CL,1670300087
35,imbituba,-28.24,-48.6703,24.36,96,58,3.18,BR,1670300141
36,san roque,36.2107,-5.3842,16.46,82,100,3.6,ES,1670300141
37,tasiilaq,65.6145,-37.6368,-3.91,58,8,1.66,GL,1670300142
38,nanortalik,60.1432,-45.2371,2.65,79,100,7.33,GL,1670300013
39,georgetown,5.4112,100.3354,30.96,79,20,1.54,MY,1670300135
40,sonoita,31.85,-112.8333,17.4,68,0,1.36,MX,1670300143
41,pala,9.3642,14.9046,20.36,25,55,2.37,TD,1670300143
42,tuatapere,-46.1333,167.6833,12.89,54,34,3.53,NZ,1670300143
43,port elizabeth,-33.918,25.5701,16.29,85,100,1.34,ZA,1670300106
44,margate,51.3813,1.3862,7.61,84,98,3.13,GB,1670300144
45,geraldton,-28.7667,114.6,26.23,50,0,10.8,AU,1670300145
46,makakilo city,21.3469,-158.0858,25.18,71,75,3.09,US,1670300145
47,avarua,-21.2078,-159.775,24.03,88,20,2.57,CK,1670300146
48,kempsey,-31.0833,152.8333,24.97,65,36,3.13,AU,1670300146
49,nelson bay,-32.7167,152.15,22.28,69,45,4.92,AU,1670300146
50,vanimo,-2.6741,141.3028,26.91,83,100,2.1,PG,1670300147
51,kozluk,38.1938,41.4885,2.14,65,44,2.08,TR,1670300148
52,turukhansk,65.8167,87.9833,-6.02,95,100,5.66,RU,1670300148
53,tambacounda,13.7539,-13.7586,24.28,45,47,1.64,SN,1670300148
54,ribeira grande,38.5167,-28.7,15.99,85,100,8.05,PT,1670300149
55,amahai,-3.3333,128.9167,29.81,64,78,2.74,ID,1670300150
56,albany,42.6001,-73.9662,3.5,61,98,0.45,US,1670299908
57,saskylakh,71.9167,114.0833,-21.72,96,100,8.0,RU,1670300150
58,saint george,37.1041,-113.5841,12.19,74,100,1.54,US,1670300123
59,soyo,-6.1349,12.3689,25.87,86,100,3.0,AO,1670300151
60,mahebourg,-20.4081,57.7,26.81,73,40,6.69,MU,1670300004
61,new norfolk,-42.7826,147.0587,16.07,41,51,1.34,AU,1670300152
62,mar del plata,-38.0023,-57.5575,21.01,73,0,5.66,AR,1670299909
63,chicama,-7.8447,-79.1469,16.3,85,5,2.17,PE,1670300152
64,novo aripuana,-5.1206,-60.3797,22.72,98,100,0.84,BR,1670300153
